GO_BP	Gene_Size	Gene_List
GO:0060559:positive regulation of calcidiol 1-monooxygenase activity	3	IFNG,IL1B,TNF
GO:0060560:developmental growth involved in morphogenesis	2	TBX2,WNT7B
GO:0060561:apoptotic process involved in morphogenesis	5	CRYAB,FGF4,FZD5,PPP2R1B,SCRIB
GO:0060563:neuroepithelial cell differentiation	8	ABL1,B9D1,CDH2,EMX1,FGF8,SOX11,SOX4,TMEM231
GO:0060571:morphogenesis of an epithelial fold	4	AR,EGFR,GDF7,HOXD13
GO:0060574:intestinal epithelial cell maturation	4	CDKN1A,HIF1A,HOXA5,TYMS
GO:0060575:intestinal epithelial cell differentiation	9	CBFA2T2,CDX2,GATA4,GATA5,GATA6,NPY,PTK6,PYY,SAV1
GO:0060576:intestinal epithelial cell development	7	C1GALT1,KLF5,NKX3-2,PRDM1,SPDEF,TIGAR,YIPF6
GO:0060579:ventral spinal cord interneuron fate commitment	3	ASCL1,DLL4,FOXN4
GO:0060585:positive regulation of prostaglandin-endoperoxide synthase activity	3	EDN1,EDN2,NOD2
GO:0060586:multicellular organismal iron ion homeostasis	9	BMP6,BTBD9,HAMP,HFE,HYAL2,RHAG,SLC11A1,SLC11A2,SLC40A1
GO:0060591:chondroblast differentiation	5	CCN1,FGF2,FGF4,GDF5,RARA
GO:0060595:fibroblast growth factor receptor signaling pathway involved in mammary gland specification	2	FGF10,FGFR2
GO:0060596:mammary placode formation	3	NRG3,TBX2,TBX3
GO:0060599:lateral sprouting involved in mammary gland duct morphogenesis	2	AR,WNT5A
GO:0060603:mammary gland duct morphogenesis	5	CSF1R,GLI2,NTN1,PTCH1,SCRIB
GO:0060612:adipose tissue development	30	AACS,ACAT1,AMER1,ARID5B,ATF2,CDK4,DYRK1B,EBF2,FTO,ID2,LEP,LRP5,LRP5L,NAMPT,OXCT1,PAXIP1,PGRMC2,PIK3CA,PPARD,PPARGC1A,RORC,SELENOM,SH3PXD2B,SLC25A25,SOX8,SPART,SPTLC2,UMODL1,XBP1,ZNF516
GO:0060613:fat pad development	7	ARID5B,ARRDC3,BBS4,CASR,DGAT2,TBL1XR1,UBB
GO:0060615:mammary gland bud formation	2	FGF10,FGFR2
GO:0060621:negative regulation of cholesterol import	2	APOA2,APOC3
GO:0060623:regulation of chromosome condensation	3	CCNB1,MCPH1,WAPL
GO:0060627:regulation of vesicle-mediated transport	9	FES,MBTPS1,NRP1,PRKAA1,RAB11A,RAB25,SLC30A8,USP6,VAMP2
GO:0060628:regulation of ER to Golgi vesicle-mediated transport	6	GAS1,LRRK2,RINT1,RNF139,SCFD1,YIPF5
GO:0060629:regulation of homologous chromosome segregation	2	CCDC36,HORMAD1
GO:0060631:regulation of meiosis I	2	PSMA8,WEE2
GO:0060632:regulation of microtubule-based movement	2	HDAC6,IGBP1
GO:0060633:negative regulation of transcription initiation from RNA polymerase II promoter	3	CTNNBIP1,HEY2,ZNF451
GO:0060638:mesenchymal-epithelial cell signaling	3	HOXA5,WNT2B,WNT5A
GO:0060644:mammary gland epithelial cell differentiation	13	AKT1,AKT2,CEBPB,ELF5,ERBB4,HOXA5,IRF6,LATS1,LBH,PRLR,PTCH1,SMO,ZNF703
GO:0060661:submandibular salivary gland formation	2	CDC42,FGF10
GO:0060662:salivary gland cavitation	5	EDA,EDAR,NFIB,SHH,TGM2
GO:0060664:epithelial cell proliferation involved in salivary gland morphogenesis	5	FGF10,FGFR2,NKX3-1,SHH,TNF
GO:0060665:regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling	4	FGF10,FGF7,FGFR1,HGF
GO:0060666:dichotomous subdivision of terminal units involved in salivary gland branching	5	NRP1,PLXNA1,PLXND1,SEMA3A,SEMA3C
GO:0060667:branch elongation involved in salivary gland morphogenesis	2	FGF10,FGFR2
GO:0060669:embryonic placenta morphogenesis	5	IGF2,SETD2,TRIM28,WNT7B,ZNF568
GO:0060670:branching involved in labyrinthine layer morphogenesis	9	ADM,FGFR2,FZD5,GCM1,GRB2,IL10,RSPO3,SOCS3,SPINT1
GO:0060672:epithelial cell morphogenesis involved in placental branching	3	GRHL2,SPINT2,ST14
GO:0060674:placenta blood vessel development	12	APELA,ARID1A,FOSL1,ITGB8,MAP2K1,NOTCH2,NR2F2,PKD1,PKD2,RBM15,SOCS3,SPINT1
GO:0060675:ureteric bud morphogenesis	3	HES1,TACSTD2,WNT11
GO:0060676:ureteric bud formation	4	GATA3,GDNF,GREM1,NOG
GO:0060684:epithelial-mesenchymal cell signaling	3	BMP4,SMO,WNT6
GO:0060686:negative regulation of prostatic bud formation	4	BMP4,BMP7,SULF1,WNT5A
GO:0060687:regulation of branching involved in prostate gland morphogenesis	6	BMP4,BMP7,ESR1,HOXD13,RXRA,SFRP1
GO:0060688:regulation of morphogenesis of a branching structure	3	FGFR2,GDNF,PGF
GO:0060689:cell differentiation involved in salivary gland development	2	CLCN2,NFIB
GO:0060693:regulation of branching involved in salivary gland morphogenesis	3	BTBD7,SNAI2,TNF
GO:0060697:positive regulation of phospholipid catabolic process	2	APOC2,APOC4-APOC2
GO:0060700:regulation of ribonuclease activity	4	OAS1,OAS2,OAS3,OASL
GO:0060702:negative regulation of endoribonuclease activity	2	ABCE1,TMBIM6
GO:0060706:cell differentiation involved in embryonic placenta development	6	EOMES,GCM1,KRT19,KRT8,STK3,STK4
GO:0060707:trophoblast giant cell differentiation	14	E2F7,E2F8,GJB5,HAND1,LIF,MDFI,NR2F2,PLG,PLK4,PRDM1,SENP2,SNAI1,SOCS3,SOX15
GO:0060710:chorio-allantoic fusion	7	BMP5,BMP7,CCN1,DNAJB6,LEF1,WNT7B,ZFP36L1
GO:0060711:labyrinthine layer development	8	BIRC6,CDX2,CDX4,CITED1,EGLN1,MAP2K1,PCDH12,SENP2
GO:0060713:labyrinthine layer morphogenesis	2	GJB5,NCOA1
GO:0060715:syncytiotrophoblast cell differentiation involved in labyrinthine layer development	3	CASP8,DNAJB6,FZD5
GO:0060716:labyrinthine layer blood vessel development	21	AKT1,CCN1,FBXW8,FZD5,GGNBP2,HES1,HEY1,HEY2,HS6ST1,JUNB,MAPK1,NSDHL,OVOL2,PLCD1,PLCD3,PLG,RBPJ,TMED2,VASH1,VASH2,WNT2
GO:0060717:chorion development	2	DNAJB6,PAXIP1
GO:0060718:chorionic trophoblast cell differentiation	5	E2F7,E2F8,FZD5,HTRA1,MAP3K4
GO:0060721:regulation of spongiotrophoblast cell proliferation	2	NRK,PHLDA2
GO:0060729:intestinal epithelial structure maintenance	4	INAVA,SOX9,TLR4,ZNF830
GO:0060732:positive regulation of inositol phosphate biosynthetic process	8	ADCYAP1R1,AVPR1B,CD244,NTSR1,PTAFR,PTH,PTH1R,SNCA
GO:0060733:regulation of eIF2 alpha phosphorylation by amino acid starvation	2	EIF2AK4,IMPACT
GO:0060736:prostate gland growth	8	AR,CYP19A1,PLAG1,PRLR,PSAP,PSAPL1,PTEN,UBE3A
GO:0060738:epithelial-mesenchymal signaling involved in prostate gland development	2	FOXA1,SHH
GO:0060740:prostate gland epithelium morphogenesis	7	AR,CYP7B1,FOXA1,ID4,NOTCH1,RARG,TNC
GO:0060741:prostate gland stromal morphogenesis	3	CRIP1,FOXA1,ID4
GO:0060742:epithelial cell differentiation involved in prostate gland development	4	AR,CTNNB1,PSAP,PSAPL1
GO:0060743:epithelial cell maturation involved in prostate gland development	3	FEM1B,FOXA1,HOXB13
GO:0060744:mammary gland branching involved in thelarche	4	AREG,MED1,PHB2,WNT5A
GO:0060745:mammary gland branching involved in pregnancy	3	ESR1,MED1,VDR
GO:0060748:tertiary branching involved in mammary gland duct morphogenesis	3	AR,PGR,WNT4
GO:0060749:mammary gland alveolus development	16	AR,AREG,CCND1,DDR1,EGF,ERBB4,ESR1,HOXA5,ID2,PHB2,PRLR,SOCS2,TNFRSF11A,TNFSF11,TPH1,VEGFA
GO:0060750:epithelial cell proliferation involved in mammary gland duct elongation	4	AREG,ESR1,MED1,WNT5A
GO:0060754:positive regulation of mast cell chemotaxis	6	PGF,SWAP70,VEGFA,VEGFB,VEGFC,VEGFD
GO:0060760:positive regulation of response to cytokine stimulus	7	DDX58,DHX9,IFIH1,LRRC70,MAVS,TAF9,WNT5A
GO:0060761:negative regulation of response to cytokine stimulus	6	APOA1,KLF4,MAP2K5,MAPK7,SH2B3,TLE5
GO:0060762:regulation of branching involved in mammary gland duct morphogenesis	4	CAV3,ETV5,PHB2,WNT5A
GO:0060763:mammary duct terminal end bud growth	3	CCL11,CSF1,KDM5B
GO:0060764:cell-cell signaling involved in mammary gland development	2	HOXA5,LRP5
GO:0060765:regulation of androgen receptor signaling pathway	11	ARRB2,DDX5,EP300,HDAC6,KDM5D,PARK7,PRMT2,RNF14,RNF6,SAFB2,TRIM68
GO:0060766:negative regulation of androgen receptor signaling pathway	15	DAB2,FOXH1,FOXP1,HDAC1,HEYL,NCOR1,NCOR2,NODAL,PHB,PIAS2,SFRP1,SIRT1,SMARCA4,TCF21,ZBTB7A
GO:0060769:positive regulation of epithelial cell proliferation involved in prostate gland development	3	AR,CTNNB1,SHH
GO:0060770:negative regulation of epithelial cell proliferation involved in prostate gland development	6	CDKN1B,EAF2,NKX3-1,SERPINF1,STK11,WDR77
GO:0060775:planar cell polarity pathway involved in gastrula mediolateral intercalation	2	WNT11,WNT5A
GO:0060789:hair follicle placode formation	4	CTNNB1,EDA,HDAC1,HDAC2
GO:0060800:regulation of cell differentiation involved in embryonic placenta development	3	GCM1,STK3,STK4
GO:0060809:mesodermal to mesenchymal transition involved in gastrulation	2	EOMES,WNT5A
GO:0060816:random inactivation of X chromosome	2	CDYL,RLIM
GO:0060819:inactivation of X chromosome by genetic imprinting	3	PCGF3,PCGF5,PCGF6
GO:0060828:regulation of canonical Wnt signaling pathway	26	AMER1,AMER2,AMER3,BTRC,CCNY,CDK14,CTNNB1,CTNND2,DAAM2,DACT1,EMD,FAM53B,FOLR1,FZD7,GNAQ,GPC3,IFT20,KREMEN1,LRRK2,MKS1,OTULIN,PPP1CA,PRKN,PSEN1,SOX7,ZNF703
GO:0060830:ciliary receptor clustering involved in smoothened signaling pathway	3	IFT122,SSNA1,WDR19
GO:0060831:smoothened signaling pathway involved in dorsal/ventral neural tube patterning	7	GLI2,GLI3,IFT122,PTCH1,TBC1D32,TULP3,WDR19
GO:0060836:lymphatic endothelial cell differentiation	5	ACVR2B,ACVRL1,BMPR2,PROX1,SOX18
GO:0060840:artery development	8	ACVR2B,ACVRL1,BMPR2,GLI3,HOXA1,LUZP1,SHH,SLC2A10
GO:0060841:venous blood vessel development	4	ACVR2B,ACVRL1,BMPR2,FOXF1
GO:0060842:arterial endothelial cell differentiation	4	HEY1,HEY2,NOTCH1,TMEM100
GO:0060849:regulation of transcription involved in lymphatic endothelial cell fate commitment	2	NR2F2,PROX1
GO:0060850:regulation of transcription involved in cell fate commitment	6	CEBPB,CHD5,PPARG,RORA,RORC,ZBTB7B
GO:0060856:establishment of blood-brain barrier	2	LSR,MFSD2A
GO:0060900:embryonic camera-type eye formation	2	STRA6,TWIST1
GO:0060903:positive regulation of meiosis I	2	DMRT1,PIWIL2
GO:0060907:positive regulation of macrophage cytokine production	9	CD36,CD74,GPRC5B,HLA-G,LILRB1,SEMA7A,SPON2,TLR4,WNT5A
GO:0060913:cardiac cell fate determination	3	ISL1,MESP1,SOX17
GO:0060914:heart formation	3	BMPR1A,LEMD2,SOX17
GO:0060915:mesenchymal cell differentiation involved in lung development	2	FGF10,FGFR2
GO:0060916:mesenchymal cell proliferation involved in lung development	3	CTNNB1,FGFR2,SHH
GO:0060923:cardiac muscle cell fate commitment	3	ACVR1,TBX3,WT1
GO:0060928:atrioventricular node cell development	2	MAML1,NKX2-5
GO:0060931:sinoatrial node cell development	2	BVES,TBX3
GO:0060940:epithelial to mesenchymal transition involved in cardiac fibroblast development	2	PDCD4,SPRY1
GO:0060947:cardiac vascular smooth muscle cell differentiation	3	GATA6,MESP1,SRF
GO:0060948:cardiac vascular smooth muscle cell development	3	HEY2,NOTCH1,VEGFA
GO:0060956:endocardial cell differentiation	5	NOTCH1,NRG1,SMAD4,SOX17,SOX18
GO:0060964:regulation of gene silencing by miRNA	56	AAAS,AGO1,AGO2,EIF4G1,FMR1,H3-3A,H3C1,H3C13,H4-16,IPO8,MAEL,NDC1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,POM121C,PUM1,PUM2,RAE1,RANBP2,SEC13,SEH1L,TNRC6A,TPR,TRIM71
GO:0060965:negative regulation of gene silencing by miRNA	5	DND1,ELAVL1,POU5F1,PPARG,TGFB1
GO:0060968:regulation of gene silencing	2	CDK2,H3C1
GO:0060971:embryonic heart tube left/right pattern formation	4	CITED2,IFT122,MEGF8,NKX2-5
GO:0060972:left/right pattern formation	7	CITED2,DNAAF1,DPCD,FOXJ1,IFT57,MEGF8,SNAI1
GO:0060973:cell migration involved in heart development	2	BVES,NDRG4
GO:0060976:coronary vasculature development	27	ADAMTS6,AP2B1,APELA,APLN,APLNR,BMP4,CPLANE1,DCTN5,DNM2,DYNC2H1,GPC3,LTBP1,MEGF8,MMP21,MYH10,NDST1,PCSK5,PLXND1,PRDM1,PRICKLE1,PTK7,SMAD6,SNX17,SUFU,TAB1,VEGFB,ZBTB14
GO:0060977:coronary vasculature morphogenesis	3	HEY2,SETD2,SGCD
GO:0060978:angiogenesis involved in coronary vascular morphogenesis	2	NRP1,TGFBR1
GO:0060979:vasculogenesis involved in coronary vascular morphogenesis	3	NOTCH1,SPRED1,TGFBR3
GO:0060982:coronary artery morphogenesis	9	ARID2,HAND2,LRP2,NOTCH1,NRP1,SEC24B,TBX1,TGFBR1,VEGFA
GO:0060988:lipid tube assembly	3	BIN1,SH3GL2,SNX9
GO:0060992:response to fungicide	6	EHMT1,KDM1A,KDM5B,KDM6B,SRD5A1,STAR
GO:0060993:kidney morphogenesis	9	GCNT1,GCNT3,GCNT4,NPHP3,PRKX,SOX4,VANGL2,WWTR1,ZMPSTE24
GO:0060996:dendritic spine development	15	ACSL4,ARF4,ARID1B,CAMK2A,EPHB1,EPHB2,EPHB3,IQSEC1,NCK2,PAK2,PAK4,SLC12A5,SLC9A6,SRGAP2,UBA6
GO:0060997:dendritic spine morphogenesis	18	ARC,CDC42,CTNND2,DLG4,DOCK10,DVL1,EPHB1,EPHB2,EPHB3,HDAC6,PAK3,PTEN,SHANK1,SHANK2,SHANK3,WASL,WNT7A,ZNF365
GO:0060998:regulation of dendritic spine development	10	ARF6,CAMK2B,CPEB3,DISC1,FMR1,KIF1A,MEF2C,PPFIA2,SDK1,TANC2
GO:0060999:positive regulation of dendritic spine development	23	APOE,ARF1,CAMK1,CDKL5,CPEB3,DLG5,EURL,FMR1,FOXO6,IL2,ITSN1,LLPH,LPAR1,MAPK6,MTOR,NEURL1,NLGN1,PPP1R9A,PSEN1,SHANK1,SHANK2,SHANK3,ZMYND8
GO:0061000:negative regulation of dendritic spine development	6	ASAP1,FSTL4,HDAC2,PLK2,PTPRS,SRGAP2C
GO:0061001:regulation of dendritic spine morphogenesis	19	ABI2,ADAM10,ARC,ARHGAP33,ARHGAP44,CDK5,CDK5R1,CFL1,EPHA4,KIF1A,LRRK2,LZTS3,PDLIM5,PPFIA2,PPP1R9A,SHANK3,SIPA1L1,SRCIN1,TANC2
GO:0061002:negative regulation of dendritic spine morphogenesis	7	DNM3,EFNA1,NGEF,NLGN1,NLGN3,PTEN,UBE3A
GO:0061003:positive regulation of dendritic spine morphogenesis	22	ACTR2,BAIAP2,BHLHB9,CAMK2B,CAPRIN1,CAPRIN2,CTTN,CUX2,DBN1,DBNL,DHX36,DNM1L,EEF2K,HCLS1,ITPKA,KALRN,LRP8,OPA1,PAFAH1B1,PAK3,RELN,TIAM1
GO:0061005:cell differentiation involved in kidney development	3	GLI3,GLIS2,PTCH1
GO:0061009:common bile duct development	3	HES1,MKS1,SOX17
GO:0061010:gall bladder development	2	NIPBL,SOX17
GO:0061014:positive regulation of mRNA catabolic process	12	CNOT1,CNOT7,CNOT8,GTPBP1,KHSRP,MOV10,PNPT1,PRR5L,RC3H1,UPF1,ZC3H12A,ZC3HAV1
GO:0061015:snRNA import into nucleus	2	RAN,SNUPN
GO:0061024:membrane organization	134	AAK1,ACTB,ACTG1,ACTR2,ACTR3,ADRB2,AGFG1,AMPH,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APOB,AREG,ARPC1A,ARPC2,ARPC3,ARPC4,ARPC5,ARRB1,ARRB2,AVP,AVPR2,BAIAP2L2,BIN1,BTC,CBL,CCDC88A,CD3D,CD3G,CD4,CFTR,CHP1,CHRM2,CLN3,CLTA,CLTB,CLTC,CLTCL1,CTTN,DAB2,DHCR24,DNAJC6,DNM2,DVL2,EGF,EGFR,EPGN,EPN1,EPN2,EPS15,EPS15L1,EREG,FAM92A,FCHO1,FCHO2,FNBP1,FNBP1L,FZD4,GAK,GAPVD1,GNPAT,GRB2,HBEGF,HGS,HIP1,HIP1R,HSPA8,IGF2R,IL7R,ITSN1,KIAA0319,LDLR,LDLRAP1,LPCAT2,LRP2,M6PR,MBP,NECAP1,OCRL,PACSIN2,PICALM,PIK3C2A,PIP5K1C,PMP2,PRKCI,RAB5A,RALA,REPS1,REPS2,RPS27A,SAR1A,SAR1B,SCARB2,SFN,SGCZ,SGIP1,SH3GL2,SH3KBP1,SLC18A3,SLC2A8,SNX9,STAM,STAM2,STON2,SYNJ1,SYNJ2,SYT1,SYT2,SYT9,TBC1D1,TF,TFRC,TGFA,TGOLN2,TMEM33,TRIP10,UBA52,UBB,UBC,VAMP2,VAMP3,VAMP4,VAMP7,VAMP8,WASL,WNT5A,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ
GO:0061025:membrane fusion	36	ANXA7,BET1L,CHP1,DCSTAMP,DNM1,DNM1L,DNM2,DNM3,DYSF,FER1L5,GCA,HACE1,MX1,MX2,MYOF,NAPA,NAPG,NSFL1C,OPA1,OTOF,RABEP1,RABIF,RIMS1,SNAP23,SNAP29,STX11,STX18,UBXN2A,UBXN2B,USO1,VAMP2,VAMP3,VAPA,VPS33B,VTI1B,YKT6
GO:0061026:cardiac muscle tissue regeneration	3	ERBB4,GATA4,YAP1
GO:0061028:establishment of endothelial barrier	18	EZR,F2RL1,ICAM1,MARVELD2,MSN,MYADM,PDE2A,PDE4D,PECAM1,PPP1R16B,RAP1A,RAP1B,RAPGEF1,RAPGEF2,RAPGEF3,RDX,ROBO4,SOX18
GO:0061029:eyelid development in camera-type eye	13	EGFR,GRHL3,HDAC1,HDAC2,INHBA,JUN,OSR2,SOS1,SOX11,SRF,STRA6,TFAP2A,TWIST1
GO:0061030:epithelial cell differentiation involved in mammary gland alveolus development	4	FOXB1,FOXF1,HIF1A,ID2
GO:0061031:endodermal digestive tract morphogenesis	2	ID2,SOX17
GO:0061032:visceral serous pericardium development	2	HAND2,WT1
GO:0061033:secretion by lung epithelial cell involved in lung growth	3	FGF10,FGF7,TMEM38B
GO:0061035:regulation of cartilage development	3	KAT2A,SCX,SMPD3
GO:0061036:positive regulation of cartilage development	17	BMP1,BMP10,BMP2,BMP4,BMPR1B,BMPR2,CCN1,GDF2,MDK,SCX,SMAD1,SOX5,SOX6,SOX9,TAPT1,WNT5A,ZBTB16
GO:0061037:negative regulation of cartilage development	6	CTSK,FRZB,LEP,NOG,RARA,WNT11
GO:0061038:uterus morphogenesis	6	ASH1L,KDM5B,NIPBL,STRA6,WNT7A,WNT9B
GO:0061041:regulation of wound healing	5	CADM4,PLAU,SRSF6,TNFRSF12A,VIL1
GO:0061042:vascular wound healing	8	ADIPOR2,CD34,GATA2,HPSE,KDR,MCAM,NDNF,VEGFA
GO:0061044:negative regulation of vascular wound healing	4	ALOX5,SERPINE1,SLC12A2,TNF
GO:0061045:negative regulation of wound healing	16	AJAP1,ALOX5,APCS,CASK,CD109,CLDN19,CLDN3,CRK,EPPK1,FGF2,GJA1,HMGCR,SERPINE1,SMAD3,WFDC1,WNT4
GO:0061049:cell growth involved in cardiac muscle cell development	9	ADRA1A,AGT,AGTR2,AKAP13,GATA4,MAP2K4,NPPA,PDLIM5,SORBS2
GO:0061051:positive regulation of cell growth involved in cardiac muscle cell development	8	AKAP6,DDX39B,EDN1,HAMP,IGF1,MTOR,PARP2,PIN1
GO:0061052:negative regulation of cell growth involved in cardiac muscle cell development	10	CAV3,CTDP1,G6PD,GSK3A,PAK1,PI16,PPARA,RGS2,RGS4,YY1
GO:0061053:somite development	15	FRZB,IHH,LOXL3,MEOX1,MEOX2,MTHFD1,NOG,NUP133,PPP2R3A,PTCH1,RBBP6,SHH,SMO,SOX11,WNT11
GO:0061055:myotome development	3	SIX1,SIX4,WDR19
GO:0061056:sclerotome development	4	MEOX1,PAX1,SCX,SFRP2
GO:0061061:muscle structure development	10	CAPN3,LDB3,PDLIM1,PDLIM2,PDLIM3,PDLIM4,PDLIM5,PDLIM7,PRICKLE4,RNF165
GO:0061072:iris morphogenesis	9	FOXE3,HIF1A,HIPK1,HIPK2,PAX6,PITX2,WNT2,WNT2B,WNT9A
GO:0061073:ciliary body morphogenesis	4	FOXE3,JAG1,NOTCH2,TSKU
GO:0061074:regulation of neural retina development	4	DLL4,PTF1A,SIX3,VSX2
GO:0061077:chaperone-mediated protein folding	30	CHORDC1,CLU,CRTAP,CSNK2A1,DFFA,DNAJB2,DNAJB8,DNAJC24,DNAJC5,FKBP1A,FKBP1B,FKBP1C,FKBP4,FKBP5,HSPB1,HSPB6,P3H1,PDCL3,PDIA4,PEX19,PPIB,PPID,SGTA,ST13,ST13P4,ST13P5,TOR1A,TRAP1,UNC45A,UNC45B
GO:0061084:negative regulation of protein refolding	4	BAG5,PDCL,SNRNP70,ST13
GO:0061086:negative regulation of histone H3-K27 methylation	5	EZHIP,MACROH2A1,MTF2,PHF1,SUPT6H
GO:0061087:positive regulation of histone H3-K27 methylation	5	EED,MTF2,OGT,PHF1,PHF19
GO:0061088:regulation of sequestering of zinc ion	5	AP3D1,SLC30A2,SLC30A3,SLC30A4,SLC30A8
GO:0061092:positive regulation of phospholipid translocation	3	ABCB4,ATP8A1,ATP8A2
GO:0061097:regulation of protein tyrosine kinase activity	3	PTPRC,RAP2B,RAP2C
GO:0061098:positive regulation of protein tyrosine kinase activity	40	ABI1,ACE,AFAP1L2,AGT,ALKAL1,ALKAL2,CASS4,CCL5,CD24,CSF1R,DLG3,DLG4,DOK7,DVL2,EFNA1,EPHA4,ERBB3,ERCC6,FCGR1A,GAS6,GHRL,GPRC5B,GREM1,GRM5,IL34,LILRA5,LRP8,NCAPG2,NEDD9,NOX4,NRG1,PAK2,PDGFB,PRNP,PTPN1,RELN,SRCIN1,TAL1,UNC119,WNT3A
GO:0061099:negative regulation of protein tyrosine kinase activity	14	CAV1,FGFR1OP,GGNBP2,HYAL2,IBTK,MVP,PTK6,PTPN2,PTPRC,RACK1,SH3BP5,SH3BP5L,SRCIN1,THY1
GO:0061101:neuroendocrine cell differentiation	2	BCCIP,WNT11
GO:0061104:adrenal chromaffin cell differentiation	2	ASCL1,INSM1
GO:0061113:pancreas morphogenesis	3	CELA1,NR5A2,SMO
GO:0061136:regulation of proteasomal protein catabolic process	18	APOE,BTRC,DNAAF4,GPX1,NFE2L1,NUDT15,PINK1,PKD1,PRKACA,PSMD14,PSME1,PSME2,PSME3,RHBDF1,TMF1,UBB,UCHL5,USP14
GO:0061138:morphogenesis of a branching epithelium	4	BTBD7,SOX10,SOX8,SOX9
GO:0061145:lung smooth muscle development	2	SOX9,SRF
GO:0061146:Peyer's patch morphogenesis	3	ARTN,FOXL1,RET
GO:0061153:trachea gland development	2	EDA,LEF1
GO:0061154:endothelial tube morphogenesis	7	ACVRL1,CCM2,CSNK2B,CTNNB1,CXCR4,PRKD2,RHOB
GO:0061156:pulmonary artery morphogenesis	5	HEY2,JAG1,LRP2,SEC24B,STRA6
GO:0061157:mRNA destabilization	16	CNOT6L,FTO,GIGYF2,HNRNPR,METTL14,METTL16,METTL3,MEX3D,PUM1,RBM24,RIDA,ROCK1,ROCK2,YTHDF1,YTHDF2,YTHDF3
GO:0061158:3'-UTR-mediated mRNA destabilization	17	CPEB3,DHX36,DND1,HNRNPD,KHSRP,MOV10,PLEKHN1,RBM24,RC3H1,TARDBP,TRIM71,UPF1,ZC3H12A,ZC3H12D,ZFP36,ZFP36L1,ZFP36L2
GO:0061162:establishment of monopolar cell polarity	2	GBF1,MAP1B
GO:0061178:regulation of insulin secretion involved in cellular response to glucose stimulus	16	ADCY5,BRSK2,CDK16,EFNA5,EPHA5,FOXA2,HMGN3,LRP5,LRP5L,NR1D1,NR1H4,PRKCE,SIDT2,SLC9B2,STXBP4,TIAM1
GO:0061179:negative regulation of insulin secretion involved in cellular response to glucose stimulus	8	ADRA2A,ENY2,FKBP1B,HMGCR,JAGN1,KLF7,NDUFAF2,PIM3
GO:0061180:mammary gland epithelium development	8	ATP2C2,JAK2,MSX1,ORAI1,WNT2,WNT3,WNT4,WNT7B
GO:0061182:negative regulation of chondrocyte development	3	PTHLH,RFLNA,RFLNB
GO:0061184:positive regulation of dermatome development	3	WNT1,WNT3A,WNT4
GO:0061187:regulation of ribosomal DNA heterochromatin assembly	2	MACROH2A1,NAA40
GO:0061188:negative regulation of ribosomal DNA heterochromatin assembly	2	PHF2,PHF8
GO:0061193:taste bud development	2	BDNF,NTF4
GO:0061197:fungiform papilla morphogenesis	2	SIX1,SIX4
GO:0061198:fungiform papilla formation	3	CTNNB1,HDAC1,HDAC2
GO:0061205:paramesonephric duct development	4	GREB1L,LHX1,STRA6,WNT4
GO:0061290:canonical Wnt signaling pathway involved in metanephric kidney development	2	GATA3,LGR4
GO:0061298:retina vasculature development in camera-type eye	7	ACVR2B,ACVRL1,BMPR2,HIF1A,PDGFRA,PDGFRB,ROM1
GO:0061299:retina vasculature morphogenesis in camera-type eye	6	ARHGEF15,CLIC4,FZD4,NDP,NRP1,RHOJ
GO:0061302:smooth muscle cell-matrix adhesion	2	DDR1,VTN
GO:0061303:cornea development in camera-type eye	9	FOXE3,KERA,LIMK2,PAX6,SOX11,WNT2B,WNT6,WNT9A,WNT9B
GO:0061304:retinal blood vessel morphogenesis	6	COL4A1,CYP1B1,FZD4,LAMA1,LRP5,LRP5L
GO:0061308:cardiac neural crest cell development involved in heart development	2	MAPK1,MAPK3
GO:0061309:cardiac neural crest cell development involved in outflow tract morphogenesis	3	HAND2,HES1,JAG1
GO:0061312:BMP signaling pathway involved in heart development	6	ACVR1,BMP4,BMPR1A,MSX1,MSX2,NOG
GO:0061314:Notch signaling involved in heart development	11	DLL4,GALNT11,HEY1,HEY2,HEYL,JAG1,NOTCH1,NOTCH2,RBPJ,SNAI1,SNAI2
GO:0061317:canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	2	WNT3A,WNT8A
GO:0061325:cell proliferation involved in outflow tract morphogenesis	2	HAND2,PITX2
GO:0061333:renal tubule morphogenesis	4	COL4A1,MEF2C,MTSS1,PKD2
