GO_MF	Gene_Size	Gene_List
GO:0046873:metal ion transmembrane transporter activity	3	SLC12A2,SLC39A9,TMEM165
GO:0046875:ephrin receptor binding	28	ABL1,ANKS1A,ANKS1B,B4DXG7,CBL,CDK5,CDK5R1,CHN1,CRK,EFNA1,EFNA2,EFNA3,EFNA4,EFNA5,EFNB1,EFNB2,EFNB3,EPHA4,EPHA7,FYN,GRB2,LYN,NCK1,PIK3CG,PTPN1,SHC1,SIPA1L1,SRC
GO:0046899:nucleoside triphosphate adenylate kinase activity	2	AK3,AK4
GO:0046914:transition metal ion binding	19	APLP1,APLP2,APP,CRNN,FLG,FLG2,HRNR,RIDA,RPTN,S100A2,S100A4,S100A7A,S100A7L2,S100G,S100P,SNCB,SNTN,TCHH,TCHHL1
GO:0046915:transition metal ion transmembrane transporter activity	2	SLC11A1,SLC11A2
GO:0046920:alpha-(1->3)-fucosyltransferase activity	8	FUT10,FUT11,FUT3,FUT4,FUT5,FUT6,FUT7,FUT9
GO:0046922:peptide-O-fucosyltransferase activity	2	POFUT1,POFUT2
GO:0046923:ER retention sequence binding	5	CEMIP,KCNIP2,KDELR1,KDELR2,KDELR3
GO:0046933:proton-transporting ATP synthase activity, rotational mechanism	21	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5F1EP2,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,ATP6AP1,ATP6AP1L,ATP6V0C,MT-ATP6,MT-ATP8
GO:0046934:phosphatidylinositol-4,5-bisphosphate 3-kinase activity	6	IPMK,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R6
GO:0046935:1-phosphatidylinositol-3-kinase regulator activity	16	CCKBR,CISH,LOC110117498-PIK3R3,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,SLA2,SOCS1,SOCS2,SOCS3,SOCS4,SOCS5,SOCS6,SOCS7
GO:0046961:proton-transporting ATPase activity, rotational mechanism	22	ATP5F1B,ATP6AP1,ATP6AP1L,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1A,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1D,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1H,TCIRG1
GO:0046964:3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity	2	SLC35B2,SLC35B3
GO:0046965:retinoid X receptor binding	18	ARID5A,FUS,HMGA1,MED25,NCOA1,NCOA6,NCOR2,NR0B2,NR1H2,NR1H4,NR4A2,NRIP1,NSD1,PPARG,RARB,RARG,TACC1,VDR
GO:0046966:thyroid hormone receptor binding	30	ARID5A,FUS,GAS2L1,GTF2B,HMGN3,JMJD1C,MED1,MED12,MED13,MED16,MED17,MED24,MED30,MED4,NCOA3,NCOA6,NCOR1,NCOR1P1,NR0B2,NSD1,NUP62,OASL,PRMT2,TACC1,TAF11,TAF7,THRAP3,TRIP12,TRIP6,ZNHIT3
GO:0046969:NAD-dependent histone deacetylase activity (H3-K9 specific)	2	SIRT1,SIRT6
GO:0046972:histone acetyltransferase activity (H4-K16 specific)	10	KANSL1,KANSL1L,KANSL2,KANSL3,KAT8,MCRS1,MSL3,OGT,PHF20,WDR5
GO:0046974:histone methyltransferase activity (H3-K9 specific)	10	ASH1L,EHMT1,EHMT2,MECOM,PRDM16,SETD5,SETDB1,SETDB2,SUV39H1,SUV39H2
GO:0046975:histone methyltransferase activity (H3-K36 specific)	11	ASH1L,NSD1,NSD2,NSD3,PRDM7,PRDM9,SETD2,SETD3,SETD5,SETMAR,SMYD2
GO:0046976:histone methyltransferase activity (H3-K27 specific)	5	EED,EHMT1,EHMT2,EZH2,SUZ12
GO:0046977:TAP binding	3	HLA-A,HLA-B,HLA-C
GO:0046978:TAP1 binding	5	E7ENX8,HLA-F,TAP1,TAP2,TAPBP
GO:0046979:TAP2 binding	3	HLA-F,TAP1,TAPBP
GO:0046982:protein heterodimerization activity	296	A0A3B3IU63,A6NLC8,ABCG1,ABCG4,ABCG5,ABCG8,ABTB2,ADCY8,ADD1,ADD2,ADORA1,ADRA1A,ADRA1B,ADRA2A,ADRA2C,ADRB1,AGTR1,AHR,ALG2,AOC3,APOA2,ARNT,ARNT2,ARNTL,ATF1,ATF3,ATF6,ATP1A1,ATP1A2,ATP1B1,ATP1B2,AURKA,BAK1,BARD1,BAX,BCL2,BCL2A1,BCL2L1,BCL2L10,BCL2L2,BDKRB2,BHLHA9,BHLHE40,BHLHE41,BMP6,BOK,BTBD11,BUD23,CAV1,CAV2,CD3D,CD3E,CD3G,CEACAM6,CEACAM8,CEBPB,CENPA,CENPS,CENPT,CENPW,CFHR5,CHRAC1,CHUK,CREB3L3,CYBA,CYBB,DDIT3,DGKD,DR1,DRAP1,EPAS1,ERBB2,ERBB3,EXT1,EXT2,FBXO7,FMR1,FXR1,FXR2,FZD4,FZD9,GABBR2,GADD45A,GCA,GPHA2,GPHB5,GTF2A1,GTF2A2,H2AB1,H2AB2,H2AC1,H2AC11,H2AC12,H2AC14,H2AC18,H2AC20,H2AC21,H2AC4,H2AC6,H2AC7,H2AJ,H2AP,H2AW,H2AX,H2AZ1,H2AZ2,H2BC1,H2BC10,H2BC11,H2BC12,H2BC13,H2BC14,H2BC15,H2BC17,H2BC18,H2BC19P,H2BC20P,H2BC21,H2BC3,H2BC5,H2BC9,H2BS1,H2BU1,H2BW1,H2BW2,H3-2,H3-3A,H3-4,H3-5,H3.Y,H3C1,H3C13,H3Y1,H3Y2,H4-16,H4C7,HEXA,HIF1A,HIP1,HIP1R,HSF1,IKBKB,IKBKG,IL12A,IL12B,IRAK1,IRAK2,IRAK3,ITGA3,ITGB1,JAM3,KATNA1,KATNB1,KCNB1,KCNB2,KRT1,KRT10,KRT25,LINC02218,LOC114483833,LSM5,LSM6,MACROH2A1,MACROH2A2,MAFG,MAPK4,MAPK6,MCL1,MEF2A,MEF2C,MEF2D,METTL3,MICU1,MICU2,MIGA1,MIGA2,MLX,MLXIPL,MTTP,NAE1,NEUROD1,NEUROD2,NFYB,NFYC,NOLC1,NPAS1,NPAS3,NPAS4,NR4A1,NR4A2,P2RY1,P4HB,PDGFA,PDGFB,PDSS1,PDSS2,PEF1,PGLYRP3,PGLYRP4,PIK3R1,PIK3R2,POLE3,POLE4,PPP2CA,PPP2R1A,PRMT5,PSMF1,QTRT1,QTRT2,RALGAPA1,RALGAPA2,RALGAPB,RAN,RCC1,ROPN1B,RRAGA,RRAGC,RRAGD,SAE1,SDCBP,SDCBP2,SIM1,SIM2,SLC51A,SLC51B,SMC1A,SMC3,SNX1,SNX2,SOHLH1,SOHLH2,SOS1,SOS2,SRGAP2C,SRI,SUPT3H,SUPT4H1,SUPT5H,SUPT7L,SYT1,SYT10,SYT4,SYT5,TAF1,TAF11,TAF11L11,TAF11L12,TAF11L13,TAF11L14,TAF11L3,TAF11L4,TAF11L7,TAF11L9,TAF12,TAF13,TAF3,TAF4,TAF4B,TAF6,TAF6L,TAF7,TAF8,TAF9,TAF9B,TCF12,TCF3,TCF4,TCOF1,TENM1,TENM2,TENM3,TENM4,TFAP2B,TLR4,TLR6,TOP2A,TOP2B,TP53,TPM1,TPM2,TPM4,TRMT112,TUBB2B,UBA2,UBA3,USF1,USF2,VAPA,VAPB,XBP1,YWHAE,YWHAH,ZBTB1,ZHX1,ZHX2,ZHX3
GO:0046983:protein dimerization activity	142	ADCY8,AHRR,AIFM1,ANO2,ANO3,ANO4,ANO5,ANO7,APOE,ARNTL2,ASCL1,ASCL2,ASCL3,ASCL4,ASCL5,ATOH1,ATOH7,ATOH8,BHLHA15,BHLHE22,BHLHE23,BHMG1,BTRC,CCL11,CEACAM1,CLOCK,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EBF1,EBF2,EBF3,EBF4,FBXW11,FERD3L,FIGLA,GARS1,HELT,HES2,HES3,HES4,HES5,HES6,HES7,HEY1,HEY2,HIF3A,HNF1A,HPS1,HPS4,HSP90AB1,ID1,ID2,ID3,ID4,IL10,LYL1,MAX,MEF2B,MESP1,MESP2,MGA,MITF,MLXIP,MNT,MSC,MSGN1,MXD1,MXD3,MXD4,MXI1,MYC,MYCL,MYCLP1,MYCN,MYF5,MYF6,MYOD1,MYOG,NARS1,NCOA1,NCOA2,NCOA3,NEUROD4,NEUROD6,NEUROG2,NEUROG3,NHLH1,NHLH2,NPAS2,NSMCE1,NSMCE3,OLIG1,OLIG2,OLIG3,PDCD6,PEF1,POLR1C,POLR1D,POLR2C,POLR2J,POLR2J2,POLR2J3,PPP3CA,PPP3CB,PTF1A,PYCARD,RILP,RILPL1,RILPL2,SCX,SLC4A11,SP100,SREBF1,SREBF2,ST13,ST13P4,ST13P5,STAT3,STAT5B,STRA8,TAL1,TAL2,TCF15,TCF21,TCF23,TCF24,TCFL5,TFE3,TFEB,TFEC,THAP12,TWIST2,USF3,ZBED1,ZBED4,ZBED6,ZMYM1,ZNF862
GO:0047006:17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity	2	AKR1C1,HSD17B2
GO:0047017:prostaglandin-F synthase activity	2	AKR1C3,PRXL2B
GO:0047023:androsterone dehydrogenase activity	7	AKR1C1,AKR1C2,AKR1C3,AKR1C4,DHRS9,RDH16,RDH5
GO:0047025:3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity	2	CBR4,HSD17B8
GO:0047035:testosterone dehydrogenase (NAD+) activity	5	AKR1C3,DHRS9,HSD17B2,HSD17B6,HSD17B8
GO:0047044:androstan-3-alpha,17-beta-diol dehydrogenase activity	4	CBR1,DHRS9,RDH16,RDH5
GO:0047045:testosterone 17-beta-dehydrogenase (NADP+) activity	4	AKR1B15,AKR1C3,HSD17B14,HSD17B3
GO:0047057:vitamin-K-epoxide reductase (warfarin-sensitive) activity	3	E9PLN8,VKORC1,VKORC1L1
GO:0047066:phospholipid-hydroperoxide glutathione peroxidase activity	2	GPX1,GPX4
GO:0047086:ketosteroid monooxygenase activity	5	AKR1C1,AKR1C2,AKR1C3,AKR1C4,AKR1D1
GO:0047115:trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	4	AKR1C1,AKR1C2,AKR1C3,DHDH
GO:0047134:protein-disulfide reductase activity	4	NXN,PGK1,TXN,TXNDC17
GO:0047144:2-acylglycerol-3-phosphate O-acyltransferase activity	2	CRLS1,MBOAT7
GO:0047150:betaine-homocysteine S-methyltransferase activity	2	BHMT,BHMT2
GO:0047159:1-alkenylglycerophosphocholine O-acyltransferase activity	2	LPCAT1,LPCAT2
GO:0047179:platelet-activating factor acetyltransferase activity	3	LCAT,PAFAH1B2,PAFAH1B3
GO:0047184:1-acylglycerophosphocholine O-acyltransferase activity	5	LPCAT1,LPCAT2,LPCAT3,LPCAT4,TAZ
GO:0047192:1-alkylglycerophosphocholine O-acetyltransferase activity	3	LPCAT1,LPCAT2,LPCAT4
GO:0047196:long-chain-alcohol O-fatty-acyltransferase activity	2	AWAT1,AWAT2
GO:0047223:beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity	3	B3GNT3,B3GNT6,POMGNT1
GO:0047237:glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	3	CSGALNACT1,CSGALNACT2,EXTL2
GO:0047238:glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	4	CHPF,CHSY1,CHSY3,CSGALNACT1
GO:0047275:glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity	2	B3GALT1,B3GALT2
GO:0047288:monosialoganglioside sialyltransferase activity	2	ST3GAL2,ST3GAL4
GO:0047290:(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity	2	ST6GALNAC3,ST6GALNAC4
GO:0047322:[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	2	PRKAA1,PRKAA2
GO:0047372:acylglycerol lipase activity	12	ABHD1,ABHD12,ABHD12B,ABHD15,ABHD16A,ABHD16B,ABHD2,ABHD3,ABHD6,FAAH,MGLL,PNLIPRP2
GO:0047374:methylumbelliferyl-acetate deacetylase activity	3	CES1,CES2,ESD
GO:0047389:glycerophosphocholine phosphodiesterase activity	2	GDPD5,GPCPD1
GO:0047391:alkylglycerophosphoethanolamine phosphodiesterase activity	3	ENPP2,GDPD1,GNB1
GO:0047408:alkenylglycerophosphocholine hydrolase activity	2	TMEM86A,TMEM86B
GO:0047409:alkenylglycerophosphoethanolamine hydrolase activity	2	TMEM86A,TMEM86B
GO:0047429:nucleoside-triphosphate diphosphatase activity	7	ASMTL,DCTPP1,DHX9,ENPP1,ENPP3,ITPA,NUDT15
GO:0047485:protein N-terminus binding	105	ACOX1,ACTN4,ALG2,ALOX5AP,APTX,ARF6,ATM,BANF1,BIRC2,CFAP36,CHMP6,CSNK2A1,CSNK2A2,DAXX,DCN,DCTN4,EIF3E,EIF5A,EPB41,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,EXOC2,EXOC4,EXOC5,FEZ1,GAD1,GADD45A,GLRX,GTF2H2,GTF2H3,HAX1,HDAC1,HESX1,HSPA1A,HSPA1B,HYPK,ID1,KCNIP2,KLHL13,LACRT,MAP2K1,MAU2,MDM2,MECP2,MEN1,MNAT1,MORF4L1,MYO7A,NBN,NCOA1,NCOA3,NCOR2,NFE2,NIPBL,NPAT,NTSR1,PARP1,PDCD10,PDLIM5,PEX14,PEX19,PEX5,PHB2,PIAS3,PPP1CC,PTH,RBPJ,RELA,RND2,RPA2,RPS21,SCFD1,SCT,SDCBP,SGF29,SLA2,SLC6A3,SLC9A3R1,SMARCA4,SMARCC1,SMARCE1,SNF8,SRRM2,STX1A,STX5,STXBP1,SUV39H1,SYNGR3,TAF11,TARBP2,TBL1XR1,TDRD7,TERT,THAP7,TP53,TRAF6,TSC1,VPS25,VWF,YWHAQ,ZMYND8,ZWINT
GO:0047493:ceramide cholinephosphotransferase activity	3	SAMD8,SGMS1,SGMS2
GO:0047498:calcium-dependent phospholipase A2 activity	16	I6L893,OC90,PLA2G12A,PLA2G1B,PLA2G2A,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5
GO:0047499:calcium-independent phospholipase A2 activity	8	PLA2G15,PLA2G4A,PLA2G4C,PLA2G5,PLA2G6,PLA2G7,PNPLA8,PRDX6
GO:0047522:15-oxoprostaglandin 13-oxidase activity	4	G3V3Y1,PTGR1,PTGR2,ZADH2
GO:0047555:3',5'-cyclic-GMP phosphodiesterase activity	12	PDE10A,PDE11A,PDE1B,PDE2A,PDE5A,PDE6A,PDE6B,PDE6C,PDE6G,PDE6H,PDE8A,PDE9A
GO:0047611:acetylspermidine deacetylase activity	2	HDAC10,HDAC6
GO:0047617:acyl-CoA hydrolase activity	15	ACAA2,ACOT1,ACOT11,ACOT12,ACOT13,ACOT2,ACOT4,ACOT6,ACOT7,ACOT7L,ACOT8,ACOT9,ACSBG2,BAAT,NUDT19
GO:0047631:ADP-ribose diphosphatase activity	6	ADPRM,NUDT14,NUDT5,NUDT6,NUDT9,TRPM2
GO:0047655:allyl-alcohol dehydrogenase activity	4	AKR1A1,AKR1B1,AKR1B10,AKR1B15
GO:0047676:arachidonate-CoA ligase activity	11	ACSBG2,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,SLC27A1,SLC27A2,SLC27A3,SLC27A4,SLC27A6
GO:0047696:beta-adrenergic receptor kinase activity	4	GRK2,GRK3,GRK5,GRK6
GO:0047708:biotinidase activity	2	BTD,SIRT4
GO:0047710:bis(5'-adenosyl)-triphosphatase activity	2	ENPP4,FHIT
GO:0047718:indanol dehydrogenase activity	3	AKR1B10,AKR1C1,AKR1C3
GO:0047730:carnosine synthase activity	2	CARNS1,HAO2
GO:0047747:cholate-CoA ligase activity	2	SLC27A2,SLC27A5
GO:0047750:cholestenol delta-isomerase activity	2	EBP,EBPL
GO:0047751:cholestenone 5-alpha-reductase activity	3	SRD5A1,SRD5A2,SRD5A3
GO:0047756:chondroitin 4-sulfotransferase activity	3	CHST11,CHST12,CHST13
GO:0047757:chondroitin-glucuronate 5-epimerase activity	2	DSE,DSEL
GO:0047760:butyrate-CoA ligase activity	10	AACS,ACSF2,ACSM1,ACSM2A,ACSM2B,ACSM3,ACSM4,ACSM5,ACSM6,ACSS3
GO:0047780:citrate dehydratase activity	2	ACO1,ACO2
GO:0047783:corticosterone 18-monooxygenase activity	2	CYP11B1,CYP11B2
GO:0047787:delta4-3-oxosteroid 5beta-reductase activity	2	AKR1C3,AKR1D1
GO:0047804:cysteine-S-conjugate beta-lyase activity	2	KYAT1,KYAT3
GO:0047844:deoxycytidine deaminase activity	9	A0A087WX48,AICDA,APOBEC3A,APOBEC3B,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,APOBEC3H
GO:0047894:flavonol 3-sulfotransferase activity	3	SULT1A1,SULT1A2,SULT1E1
GO:0047946:glutamine N-acyltransferase activity	2	GLYATL1,GLYATL1B
GO:0047961:glycine N-acyltransferase activity	5	GLYAT,GLYATL1,GLYATL1B,GLYATL2,GLYATL3
GO:0047977:hepoxilin-epoxide hydrolase activity	2	ALOX12,ALOX15
GO:0048018:receptor ligand activity	36	CCL11,CCL24,CCL26,CXCL13,GAS6,GPNMB,GPR15L,GREM1,GREM2,IGF2,IL17D,LRPAP1,NBL1,NTS,PTH,SFRP2,TAFA1,TAFA2,TAFA3,TAFA4,VEGFA,WNT1,WNT10A,WNT10B,WNT2,WNT3,WNT3A,WNT4,WNT5A,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,ZP3
GO:0048019:receptor antagonist activity	28	ADH7,AGTR2,DKK1,DKK2,DKK3,DKK4,DKKL1,ESR2,IL18BP,LRPAP1,MT-RNR2,MTRNR2L1,MTRNR2L10,MTRNR2L11,MTRNR2L12,MTRNR2L13,MTRNR2L2,MTRNR2L3,MTRNR2L4,MTRNR2L5,MTRNR2L6,MTRNR2L7,MTRNR2L8,MTRNR2L9,SPINT3,WFIKKN1,WFIKKN2,ZNF653
GO:0048020:CCR chemokine receptor binding	29	CCL1,CCL11,CCL13,CCL14,CCL15,CCL15-CCL14,CCL16,CCL17,CCL18,CCL19,CCL2,CCL20,CCL21,CCL22,CCL23,CCL24,CCL25,CCL26,CCL3,CCL3L1,CCL4,CCL4L1,CCL5,CCL7,CCL8,CCRL2,CX3CL1,XCL1,XCL2
GO:0048027:mRNA 5'-UTR binding	25	CCT5,DDX3X,DHX36,FMR1,GNL3,IGF2BP1,IGF2BP2,IGF2BP3,LARP1,LARP6,MRPS11,MYH10,NCL,RARA,RPL26,RPL41,RPL5,RPS13,RPS14,RPS3A,RPS7,RSL1D1,SHMT1,SYNCRIP,UTP23
GO:0048029:monosaccharide binding	14	ALPK1,COLEC10,COLEC11,FBP1,GNPNAT1,GPI,PFKL,PFKM,PFKP,RPIA,SFTPA1,SFTPA2,SFTPD,TALDO1
GO:0048037:cofactor binding	8	ACLY,ASNS,CREG1,CREG2,PGAM2,SUCLG1,TYMS,UROS
GO:0048038:quinone binding	12	AOC1,AOC2,AOC3,CBR4,ETFDH,HSD17B8,NDUFS2,NDUFS7,SQOR,TP53I3,VKORC1,VKORC1L1
GO:0048039:ubiquinone binding	8	COQ10A,COQ10B,DHODH,ETFDH,H3BRW5,MT-ND4,SDHB,SDHD
GO:0048101:calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodiesterase activity	3	PDE1A,PDE1B,PDE1C
GO:0048156:tau protein binding	45	AATF,ACTB,APBB1,APOE,BAG2,BIN1,BRSK1,BRSK2,CDK5,CLU,DCTN1,DYRK1A,EP300,FKBP4,FYN,GSK3A,GSK3B,HDAC6,HSP90AA1,HSP90AB1,HSPA2,LGMN,MAP1A,MAP2,MARK1,MARK2,MARK3,MARK4,PICALM,PIN1,PPP2CA,PPP2CB,PPP2R2A,PPP5C,PRKAA1,ROCK1,ROCK2,S100B,SMAD2,SNCA,STUB1,TAOK1,TAOK2,TTBK1,TTBK2
GO:0048185:activin binding	14	ACVR1,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ENG,FKBP1A,FST,FSTL3,SMAD7,SMURF1,TGFBR1,TGFBR2,TGFBR3
GO:0048248:CXCR3 chemokine receptor binding	5	CXCL10,CXCL11,CXCL13,CXCL9,PF4
GO:0048256:flap endonuclease activity	3	EXO1,FEN1,GEN1
GO:0048257:3'-flap endonuclease activity	2	MUS81,SLX4
GO:0048273:mitogen-activated protein kinase p38 binding	5	DUSP10,MAPK14,NFATC1,PRMT1,TAB1
GO:0048306:calcium-dependent protein binding	62	A2M,ALG2,ANXA1,ANXA11,ANXA2,ANXA3,ANXA4,ANXA6,ANXA7,ATP2B4,CABP1,CALM3,CASQ2,CD177,CHP1,CLEC4M,CPLX2,CPNE3,DDX5,DMBT1,FCN2,MASP1,MASP2,MBL2,MYO1D,NOS1,NSMF,PDCD6,PDCD6IP,PEF1,PLSCR3,RAC3,RBM22,S100A1,S100A11,S100A4,S100A6,S100B,S100P,S100PBP,SEC31A,SELP,SLC9A1,SNAP25,SPACA9,STMN2,STX1A,STX2,SYN1,SYT1,SYT6,SYT8,TNNC1,TNNC2,TNNI3,TNNT3,TSG101,VAMP2,VLDLR,VPS37B,VPS37C,WFS1
GO:0048365:Rac GTPase binding	56	ABI2,ALS2,ARFIP2,ARHGAP17,ARHGAP4,ARHGAP44,ARHGDIA,ARHGDIB,ARHGDIG,ARHGEF2,ATP7A,BARGIN,BRK1,CAV1,CDKL5,CORO1C,CYFIP1,DOCK4,DOCK7,DVL1,DVL2,DVL3,ELMO1,ELMO2,ELMO3,EPS8,FLNA,FMNL1,HACE1,IQGAP1,IQGAP2,IQGAP3,ITPKA,KIAA0355,MAP3K11,MTSS2,NCF2,NCKAP1,NCKAP1L,NOX1,NOXA1,OCRL,PAK1,PAK2,PKN1,RALBP1,RCC2,SH3BP1,SOD1,SRGAP1,SRGAP2,SRGAP2B,SRGAP2C,SRGAP3,WAS,WASF1
GO:0048403:brain-derived neurotrophic factor binding	3	FSTL4,HAP1,NTRK2
GO:0048406:nerve growth factor binding	5	FURIN,NGFR,NTRK1,PCSK6,SORT1
GO:0048407:platelet-derived growth factor binding	12	A0A0B4J203,COL1A1,COL1A2,COL2A1,COL3A1,COL4A1,COL5A1,COL6A1,PDGFA,PDGFB,PDGFRA,PDGFRB
GO:0048408:epidermal growth factor binding	4	EGFR,NRDC,SEC61B,SHC1
GO:0048487:beta-tubulin binding	37	ADNP,APPL1,ARL8A,ARL8B,BBS4,BCAS3,CCT5,CDK5R1,EMD,FGF13,GABARAP,GABARAPL1,GABARAPL2,GJB6,HDAC6,HTT,IFT74,LRPPRC,MAP1S,NDEL1,PACRG,PDCD5,PEX14,PIFO,RACGAP1,RGS2,SLC6A2,SMC3,SPAST,SYT11,TAOK1,TBCA,TBCD,TRPV4,TTLL7,UXT,VAPB
GO:0048495:Roundabout binding	8	LGR6,LRTM1,LRTM2,MYO9B,SLIT1,SLIT2,SLIT3,TGFB1I1
GO:0048763:calcium-induced calcium release activity	4	PKD2,RYR1,RYR2,RYR3
GO:0050051:leukotriene-B4 20-monooxygenase activity	6	CYP4A11,CYP4F11,CYP4F12,CYP4F2,CYP4F3,CYP4F8
GO:0050072:m7G(5')pppN diphosphatase activity	11	DCP2,DCPS,NUDT1,NUDT10,NUDT11,NUDT16,NUDT16L1,NUDT3,NUDT4,NUDT5,NUDT7
GO:0050080:malonyl-CoA decarboxylase activity	2	A0A087X1B8,MLYCD
GO:0050135:NAD(P)+ nucleosidase activity	16	BST1,CD38,IL18R1,IL18RAP,IL1R1,IL1RAP,IL1RAPL1,IL1RAPL2,IL1RL1,IL1RL2,SARM1,TLR1,TLR10,TLR2,TLR4,TLR6
GO:0050145:nucleoside monophosphate kinase activity	4	AK4,AK6,AK9,PNKP
GO:0050178:phenylpyruvate tautomerase activity	2	DDT,MIF
GO:0050196:[phosphorylase] phosphatase activity	2	PPP1R3B,PPP1R3E
GO:0050197:phytanate-CoA ligase activity	2	ACSL1,SLC27A2
GO:0050200:plasmalogen synthase activity	2	LPCAT1,LPCAT2
GO:0050211:procollagen galactosyltransferase activity	4	CERCAM,COLGALT1,COLGALT2,PLOD3
GO:0050218:propionate-CoA ligase activity	4	ACSM3,ACSS1,ACSS2,ACSS3
GO:0050220:prostaglandin-E synthase activity	3	PTGES,PTGES2,PTGES3
GO:0050251:retinol isomerase activity	2	DEGS1,RPE65
GO:0050252:retinol O-fatty-acyltransferase activity	3	AWAT2,DGAT1,DGAT2
GO:0050253:retinyl-palmitate esterase activity	3	PLB1,PNPLA2,PNPLA4
GO:0050254:rhodopsin kinase activity	3	GRK1,GRK4,GRK7
GO:0050262:ribosylnicotinamide kinase activity	2	NMRK1,NMRK2
GO:0050265:RNA uridylyltransferase activity	3	TUT1,TUT4,TUT7
GO:0050277:sedoheptulokinase activity	2	A0A0B4J2A0,SHPK
GO:0050291:sphingosine N-acyltransferase activity	7	CERS1,CERS2,CERS3,CERS4,CERS5,CERS6,TLCD3B
GO:0050294:steroid sulfotransferase activity	4	SULT1A1,SULT1E1,SULT2A1,SULT2B1
GO:0050295:steryl-beta-glucosidase activity	2	GBA,GBA2
GO:0050321:tau-protein kinase activity	22	BRSK1,BRSK2,CDK5,CSNK1D,DYRK1A,FYN,GSK3A,GSK3B,MARK1,MARK2,MARK3,MARK4,PHKG1,PHKG2,PRKAA1,ROCK1,ROCK2,SIK3,TAOK1,TAOK2,TTBK1,TTBK2
GO:0050347:trans-octaprenyltranstransferase activity	2	PDSS1,PDSS2
GO:0050405:[acetyl-CoA carboxylase] kinase activity	2	PRKAA1,PRKAA2
GO:0050431:transforming growth factor beta binding	24	ACVR1,ACVRL1,CD109,CD36,CD93,ENG,HYAL2,ITGAV,LRRC32,LTBP1,LTBP3,LTBP4,NRROS,SPINT3,TGFB3,TGFBR1,TGFBR2,TGFBR3,TGFBR3L,THBS1,TWSG1,VASN,WFIKKN1,WFIKKN2
GO:0050436:microfibril binding	3	ADAMTSL2,LTBP1,LTBP2
GO:0050473:arachidonate 15-lipoxygenase activity	3	ALOX12,ALOX15,ALOX15B
GO:0050501:hyaluronan synthase activity	4	HAS1,HAS2,HAS3,HYAL1
GO:0050508:glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	3	EXT1,EXT2,EXTL1
GO:0050509:N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity	2	EXT1,EXT2
GO:0050510:N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity	4	CHPF,CHPF2,CHSY1,CHSY3
GO:0050544:arachidonic acid binding	6	ALOX5AP,GPR31,PPARG,S100A8,S100A9,STX3
GO:0050567:glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	4	GATB,GATC,H0YIV9,QRSL1
GO:0050610:methylarsonate reductase activity	2	GSTO1,GSTO2
GO:0050613:delta14-sterol reductase activity	2	LBR,TM7SF2
GO:0050633:acetyl-CoA C-myristoyltransferase activity	3	ACAA1,HADHB,SCP2
GO:0050649:testosterone 6-beta-hydroxylase activity	5	CYP3A4,CYP3A43,CYP3A5,CYP3A7,CYP3A7-CYP3A51P
GO:0050656:3'-phosphoadenosine 5'-phosphosulfate binding	6	CHST12,CHST15,ENPP1,GAL3ST3,GAL3ST4,HS3ST5
